Subsector,Sector,Public/private split,Organisation size,Tenure Status,Energy management ambition,Measure group,Subsector payback period (years),Subsector elec abatement (GWh/year),Subsector non-elec abatement (GWh/year),Type (automatic SAS variable - ignore),FREQ (automatic SAS variable - ignore),Elec abatement (kWh/year),Non-elec abatement (kWh/year),Capital cost (£)
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,Building fabric,21.3,5.5,5.5,0,2,0,173117.4791,"£1,197,405 "
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,Building instrumentation and control,6.1,20.2,24,0,4,0,543546.2484,"£1,505,796 "
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,Carbon and Energy Management,2.6,23.7,20.4,0,2,989704.0336,1012210.363,"£229,069 "
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,Lighting,4,15.7,.,0,2,125213.7535,0,"£359,221 "
Cafe,Hospitality,Private,DonTKnow,Owned,Passive,Space heating,25.3,5,6,0,1,0,457020.5776,"£2,793,944 "
Cafe,Hospitality,Private,Large,Not Asked,Active,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Large,Not Asked,Active,Air conditioning and cooling,16.7,1,.,0,2,71583.42158,0,"£83,456 "
Cafe,Hospitality,Private,Large,Not Asked,Active,Building fabric,21.3,5.5,5.5,0,3,159470.9984,0,"£339,511 "
Cafe,Hospitality,Private,Large,Not Asked,Active,Building instrumentation and control,6.1,20.2,24,0,3,372994.3804,0,"£145,295 "
Cafe,Hospitality,Private,Large,Not Asked,Active,Lighting,4,15.7,.,0,1,68313.9725,0,"£34,900 "
Cafe,Hospitality,Private,Large,Not Asked,Active,Refrigeration,3.7,38.6,.,0,1,684647.8176,0,"£390,992 "
Cafe,Hospitality,Private,Large,Not Asked,Active,Ventilation,27.1,4.2,.,0,1,1597.505618,0,"£34,900 "
Cafe,Hospitality,Private,Large,Rent,Active,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Large,Rent,Active,Air conditioning and cooling,16.7,1,.,0,2,155163.1935,0,"£156,270 "
Cafe,Hospitality,Private,Large,Rent,Active,Building fabric,21.3,5.5,5.5,0,5,97273.99014,0,"£299,409 "
Cafe,Hospitality,Private,Large,Rent,Active,Building instrumentation and control,6.1,20.2,24,0,7,334659.5208,317735.8263,"£429,669 "
Cafe,Hospitality,Private,Large,Rent,Active,Building services distribution systems,16.1,1.1,.,0,1,33239.10764,0,"£204,847 "
Cafe,Hospitality,Private,Large,Rent,Active,Carbon and Energy Management,2.6,23.7,20.4,0,3,62581.54606,4467.324704,"£122,538 "
Cafe,Hospitality,Private,Large,Rent,Active,Hot water,5.5,4.9,4.2,0,2,72082.26393,72443.33667,"£52,277 "
Cafe,Hospitality,Private,Large,Rent,Active,Lighting,4,15.7,.,0,2,791832.4029,0,"£118,435 "
Cafe,Hospitality,Private,Large,Rent,Active,Refrigeration,3.7,38.6,.,0,2,556117.4776,0,"£211,456 "
Cafe,Hospitality,Private,Large,Rent,Active,Small appliances,11.4,4.5,3.7,0,2,57038.40826,49499.4427,"£116,545 "
Cafe,Hospitality,Private,Large,Rent,Active,Space heating,25.3,5,6,0,4,163401.5648,255535.5845,"£441,214 "
Cafe,Hospitality,Private,Large,Rent,Active,Ventilation,27.1,4.2,.,0,1,870.7954939,0,"£35,451 "
Cafe,Hospitality,Private,Large,Rent,None,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Large,Rent,None,Air conditioning and cooling,16.7,1,.,0,1,17855.04688,0,"£31,482 "
Cafe,Hospitality,Private,Large,Rent,None,Building fabric,21.3,5.5,5.5,0,3,181403.8327,0,"£318,016 "
Cafe,Hospitality,Private,Large,Rent,None,Building instrumentation and control,6.1,20.2,24,0,5,521186.4611,0,"£161,672 "
Cafe,Hospitality,Private,Large,Rent,None,Building services distribution systems,16.1,1.1,.,0,1,118885.2388,0,"£179,755 "
Cafe,Hospitality,Private,Large,Rent,None,Carbon and Energy Management,2.6,23.7,20.4,0,4,396808.626,0,"£60,239 "
Cafe,Hospitality,Private,Large,Rent,None,Hot water,5.5,4.9,4.2,0,2,40190.06312,0,"£25,498 "
Cafe,Hospitality,Private,Large,Rent,None,Lighting,4,15.7,.,0,1,104771.426,0,"£44,592 "
Cafe,Hospitality,Private,Large,Rent,None,Small appliances,11.4,4.5,3.7,0,4,51700.59129,0,"£102,411 "
Cafe,Hospitality,Private,Large,Rent,None,Space heating,25.3,5,6,0,1,57803.4828,0,"£31,482 "
Cafe,Hospitality,Private,Large,Rent,None,Ventilation,27.1,4.2,.,0,1,2776.769867,0,"£19,748 "
Cafe,Hospitality,Private,Large,Rent,Passive,,.,.,.,0,2,.,., .
Cafe,Hospitality,Private,Large,Rent,Passive,Air conditioning and cooling,16.7,1,.,0,5,121792.4293,0,"£165,485 "
Cafe,Hospitality,Private,Large,Rent,Passive,Building fabric,21.3,5.5,5.5,0,2,88999.53425,0,"£107,606 "
Cafe,Hospitality,Private,Large,Rent,Passive,Building instrumentation and control,6.1,20.2,24,0,10,695344.4015,0,"£481,534 "
Cafe,Hospitality,Private,Large,Rent,Passive,Building services distribution systems,16.1,1.1,.,0,2,123610.0011,0,"£365,098 "
Cafe,Hospitality,Private,Large,Rent,Passive,Carbon and Energy Management,2.6,23.7,20.4,0,9,701287.7408,0,"£201,028 "
Cafe,Hospitality,Private,Large,Rent,Passive,Hot water,5.5,4.9,4.2,0,4,89586.63099,0,"£65,623 "
Cafe,Hospitality,Private,Large,Rent,Passive,Lighting,4,15.7,.,0,7,775875.5723,0,"£294,108 "
Cafe,Hospitality,Private,Large,Rent,Passive,Refrigeration,3.7,38.6,.,0,2,81904.79077,0,"£46,090 "
Cafe,Hospitality,Private,Large,Rent,Passive,Small appliances,11.4,4.5,3.7,0,2,73971.11323,0,"£98,496 "
Cafe,Hospitality,Private,Large,Rent,Passive,Space heating,25.3,5,6,0,3,111833.8124,0,"£111,316 "
Cafe,Hospitality,Private,Large,Rent,Passive,Ventilation,27.1,4.2,.,0,6,923528.9951,0,"£929,358 "
Cafe,Hospitality,Private,Medium,Owned,Active,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Medium,Owned,Active,Building fabric,21.3,5.5,5.5,0,2,219527.0159,0,"£406,399 "
Cafe,Hospitality,Private,Medium,Owned,Active,Lighting,4,15.7,.,0,2,346904.2189,0,"£138,327 "
Cafe,Hospitality,Private,Medium,Owned,Active,Space heating,25.3,5,6,0,2,182076.4986,0,"£745,162 "
Cafe,Hospitality,Private,Medium,Owned,Active,Ventilation,27.1,4.2,.,0,3,31780.44995,0,"£272,819 "
Cafe,Hospitality,Private,Medium,Owned,None,,.,.,.,0,1,.,., .
Cafe,Hospitality,Private,Medium,Owned,None,Building fabric,21.3,5.5,5.5,0,4,0,95472.98703,"£217,784 "
Cafe,Hospitality,Private,Medium,Owned,None,Building instrumentation and control,6.1,20.2,24,0,7,630572.0448,1812799.017,"£652,179 "
Cafe,Hospitality,Private,Medium,Owned,None,Building services distribution systems,16.1,1.1,.,0,1,2044.2538,0,"£82,385 "
Cafe,Hospitality,Private,Medium,Owned,None,Carbon and Energy Management,2.6,23.7,20.4,0,5,1417820.242,2301944.97,"£283,856 "
Cafe,Hospitality,Private,Medium,Owned,None,Hot water,5.5,4.9,4.2,0,2,257362.7542,343010.2015,"£175,872 "
Cafe,Hospitality,Private,Medium,Owned,None,Lighting,4,15.7,.,0,2,710267.2357,0,"£106,832 "
